	no match	probability was too low
 Ав. Сотв. мира	Ав.Сотв.мира	95
 Ворон. Петр. а.	Ворон.Петр.а.	95
 Истом. Град. ц.	Истом.Град ц. Карион	95
 Кир. Тур.	Кир.Тур. XV	95
 Оп. ветх. Моск. кремля	Оп.ветх.Моск.кремля	95
 Пах. Ж. Кир. Б.	Пах.Ж.Кир.Б.	95
 Посл. Бегичева	Посл.Бегичева	96
Русской грамматике” Лудольфа	no match	probability was too low
(1 Кор. XIV, 35)	no match	probability was too low
(Io. Dam. Dial., PG, t. 94. col. 624)	no match	probability was too low
(SJS 34, 614)	no match	probability was too low
(Ак.)	no match	probability was too low
(Амф.)	no match	probability was too low
(Апост. XIV в.)	no match	probability was too low
(БАН2)	no match	probability was too low
(Библ. 1499 г.)	Библ.Генн.1499 г.	95
(В. I, 363)	no match	probability was too low
(В. II, 39)	no match	probability was too low
(В. II. 131)	no match	probability was too low
(В.)	no match	probability was too low
(В.).	no match	probability was too low
(Варc. крм.)	no match	probability was too low
(Варс. крм.)	no match	probability was too low
(Волог. сб. Ак. н. XV в.)	no match	probability was too low
(Гал. ев.)	Гал.ев.	95
(Др. Рос. гос. II, 107)	no match	probability was too low
(Евг.)	no match	probability was too low
(Ж. Андр. Юрод.)	Ж.Андр.Юрод.	95
(Златостр. XII в.)	no match	probability was too low
(Изв. Арх. т. II. 109)	no match	probability was too low
(Изв. т. VIII, 76)	no match	probability was too low
(Ио. Злат.)	Ж.Ио.Злат.	95
(Ист. гос. Рос., т. VI, пр. 310)	no match	probability was too low
(Ист. чт. II. 153)	no match	probability was too low
(Исх. XXII, 13)	no match	probability was too low
(Калайд. 198)	no match	probability was too low
(Кар. И. Г. Р. X. 324 пр.)	no match	probability was too low
(Кар. И. Г. Р. т. IX. пр. 648)	no match	probability was too low
(Кар. И. Г. Р. т. VII, пр. 103)	no match	probability was too low
(Кар. И. Г. Р. т. X. пр. 426)	no match	probability was too low
(Кар. И. Г. Р., т. IX, пр. 648)	no match	probability was too low
(Кар. И.Г.Р. VI пр. 103)	no match	probability was too low
(Карамз. ИГР IX, прим. 348)	no match	probability was too low
(Кол. II, 8)	no match	probability was too low
(Конст. 1—2 кан. 6)	no match	probability was too low
(Кор. 1. И. 1)	no match	probability was too low
(Лев. XXIII. 34)	no match	probability was too low
(Лих.)	no match	probability was too low
(М.)	no match	probability was too low
(Маргарит)	Маргарит	100
(Мат. 21)	no match	probability was too low
(Мат. 48)	no match	probability was too low
(Мат. Бусл. 55)	no match	probability was too low
(Мин. июн. д. 1200 г.)	no match	probability was too low
(Н.-Кес. 4)	no match	probability was too low
(Новг.)	no match	probability was too low
(Нор. 143)	no match	probability was too low
(Нор. 2)	no match	probability was too low
(Нор. 6)	no match	probability was too low
(Нор., 141)	no match	probability was too low
(Обол. 25)	no match	probability was too low
(Оп. II. 2. 114)	no match	probability was too low
(Острож.)	no match	probability was too low
(Пар. 1370)	no match	probability was too low
(Парем. 1270 г.)	no match	probability was too low
(Пат. Печ. XIІ-XIІІ вв.)	no match	probability was too low
(Пат. Печ.)	no match	probability was too low
(Патерик Печ. 7)	Патерик Печ.	95
(Прем. V. 22).	no match	probability was too low
(Приб. Тв. св. о., 248)	no match	probability was too low
(Приб. тв. св. от. 2.252)	no match	probability was too low
(Приб. тв. св. от. II, 293)	no match	probability was too low
(Рум. 173)	no match	probability was too low
(Рум. 454)	no match	probability was too low
(Сбор. 1414 г., 28)	no match	probability was too low
(Сл. Ио. Злат.)	no match	probability was too low
(Срз. III, 68)	no match	probability was too low
(Тимоф. и Мавр.)	no match	probability was too low
(Толст.)	no match	probability was too low
(Трул. 61)	no match	probability was too low
(Упыр)	no match	probability was too low
(Упыр).	no match	probability was too low
(Упыр. 100).	no match	probability was too low
(Упыр. 104)	no match	probability was too low
(Упыр. 106)	no match	probability was too low
(Упыр. 108)	no match	probability was too low
(Упыр. 204)	no match	probability was too low
(Упыр. 226)	no match	probability was too low
(Упыр. 229)	no match	probability was too low
(Упыр. 230 толк.)	no match	probability was too low
(Упыр. 234)	no match	probability was too low
(Упыр. 242)	no match	probability was too low
(Упыр. 251)	no match	probability was too low
(Упыр. 259)	no match	probability was too low
(Упыр. 277)	no match	probability was too low
(Упыр. 29)	no match	probability was too low
(Упыр. 40)	no match	probability was too low
(Упыр. 43)	no match	probability was too low
(Упыр. 45)	no match	probability was too low
(Упыр. 47)	no match	probability was too low
(Упыр. 50)	no match	probability was too low
(Упыр. 59)	no match	probability was too low
(Упыр. 62)	no match	probability was too low
(Упыр. 66)	no match	probability was too low
(Упыр. 67)	no match	probability was too low
(Упыр. 70)	no match	probability was too low
(Упыр. 83)	no match	probability was too low
(Упыр. 86)	no match	probability was too low
(Упыр. 90)	no match	probability was too low
(Упыр. 92)	no match	probability was too low
(Упыр.)	no match	probability was too low
(Упыр.).	no match	probability was too low
(Упырь)	no match	probability was too low
(Устав св. горы)	no match	probability was too low
(Уч. Зап. IV. 201)	no match	probability was too low
(Феод.Сик)	no match	probability was too low
(Хроногр. XIV в.)	no match	probability was too low
(Чуд. сбор. XIV в., 131)	no match	probability was too low
(Чуд. сп. 138)	no match	probability was too low
(Чуд. сп. 197)	no match	probability was too low
(Чуд.)	no match	probability was too low
(Чуд.).	no match	probability was too low
(по Варс. крм.)	no match	probability was too low
(по Син. сп.)	no match	probability was too low
(толк. Упыр. 167)	no match	probability was too low
(толк. Упыр. 205)	no match	probability was too low
(толк. Упыр. 28)	no match	probability was too low
(толк. Упыр. л. 228)	no match	probability was too low
(толк. Упыр.)	no match	probability was too low
1 Кор. II, 4	no match	probability was too low
1 Тим. V, 11	no match	probability was too low
2 Мак.	no match	probability was too low
3 Цар. 11, 28	no match	probability was too low
3 Цар. V, 11	no match	probability was too low
6.	no match	probability was too low
ACBP	no match	probability was too low
AMГ	no match	probability was too low
Apc.Cyx.Ст.сп.	no match	probability was too low
Apx.Стр.	no match	probability was too low
