source_id	title_a	title_b	lang_gloss	date_start	date_end	Bib	Gomilet	Bog	Agiogr	Pov	Litur	Epi	Letop	Hron	Docum
0	Гр. Наз.		gr	11	11							+			
1	Сл. Иппол. об антихр.		gr	12	12		+								
2	Г. Фирсов			17	17		+								
3		(Сл. о богаче и Лаз.)		12	12					+					
4	Сл. Дан. Зат.			17	17		+								
5	Климент Смолят.			16	16									+	
6	Корм. Балаш.	(Мерило пр.)	gr	16	16										+
7	Мерилопр.	(Прох. IV,2)		14	14		+								
8	Лавр. лет.			1377	1377								+		
9	Изм.			16	16		+								
10	Моск. лет.			16	16								+		
11	Псков. лет.			16	16								+		
12	Стихирарь			12	12		+								
13	ВМЧ			16	16		+								
14	Ио. екз. Бог._1		gr	12	13		+								
15	Корм. Балаш.			16	16										+
16	Библ. Генн.	(Иезек. XXXVII,7)	gr/mixed	1499	1499	+									
17	Флавий. Полон. Иерус.		gr	15	15									+	
18	Сл. Ис. Сирина			1416	1416		+								
19	АИ			1486	1486										+
20	Треб ник			16	16		+								
21	Ж. Иоас. К.			17	17				+						
22	Правила			13	13										+
23	Сказ. Инд. царстве			15	15					+					
24	Выг. сб.	(Ж. Феод. Студ.)	gr	12	12				+						
25	Зла тостр.			12	12		+								
26	Менандр		gr	14	15		+								
27	Лавр.лет.	(Поуч.Вл.Мон.)		1377	1377								+		
28	Ав. Кн. обл.			18	18					+					
29	Шестоднев Ио. екз._2 (Б.)		gr	15	15		+								
30	Суб. Мат.	(Росп.  Лаз.)		1666	1666										+
31	Рим. имп. д.			1504	1504										+
32	Ив. Гр.Посл.			17	17										+
33	Суб. Мат.	(Деяния соб.)		1666	1666										+
34	Ефр. Сир.		gr	14	14										+
35	Сл. похв. Серг. Р.			15	15		+								
36	Сл. Григ. Ц.			16	16		+								
37	Оп.	(Ио. III, 25; Феоф.толк.ев.)	gr	16	16							+			
38	Корм.  Балаш.			16	16										+
39	Ж. Серап. Новг._1			17	17				+						
40	Ж.Серап. Новг.			16	16				+						
41	РИБ	(Посл. в. кн.Вас. Конст. патр. Митр.)		1441	1441										+
42		(1 Кор. I, 20; Апост.Толст.)	gr	14	14		+								
43	РИБ	(Гр.патр. Луки Андр. Богол.)		17	17										+
44	Хон.			18	18									+	
45	Мст.ев.	(Матф. XVIII, 23)	gr	11	12	+									
46	Мст.ев.	(Марк. I, 27)	gr	11	12	+									
47	Ив. Гр. Посл.			17	17										+
48	Юр.ев. Амф.	(Лук. XXIV, 17)	gr	1128	1128		+								
49		(Сл. наПасху) ###Зона! title  level="a"###Кир.Тур.		15	15		+								
50	Пролог (БАН_2)			14	14					+					
51	Ж. Стеф. Перм. Епиф.			15	16				+						
52	Флавий. Полон. Иерус.		gr	16	16									+	
53	Каз. лет.			17	17								+		
54	Мст.ев.	(Марк. VIII,11)	gr	11	12	+									
55	Ник. лет.			16	16								+		
